Customer,DBA Name,TDLR Number,City,State,Zip code
"R & C AUTO SERVICES, INC.",RODRIGO'S PAINT & BODY,006015187C,HOUSTON,TX,77081
77325,No results,,,,
77388,No results,,,,
77492,No results,,,,
GASS AUTOMOTIVE INC,,006445414C,LEAGUE CITY,TX,77574
LOUIS WENZEL,BAYOU CITY WRECKER,006061561C,LEAGUE CITY,TX,77574
77006,No results,,,,
GUSTAVO ADOLFO NAVARRO ZAPET,TEJANO'S TOWING,006625568C,HOUSTON,TX,77025
"HOUSTON PLATINUM COLLISION PROS, LLC",,006540167C,HOUSTON,TX,77025
SANA EBRAHIMI,DISCOUNT TOWING,006541008C,HOUSTON,TX,77025
AMERICAN TOWING & TRUCK REPAIR LLC,,006588679C,HOUSTON,TX,77044
BAMBINO?S TOWING LLC,,006542970C,HOUSTON,TX,77044
FRANKLIN A DOMINGUEZ,ALD TOWING,006612798C,HOUSTON,TX,77044
MEGAN C TOWING LLC,,006623486C,HOUSTON,TX,77044
MONTERREY TOWING SERVICES LLC,,006563408C,HOUSTON,TX,77044
TEXANS BEST WRECKER SERVICE LLC,TEXANS BEST WRECKER SERVICE,006531961C,HOUSTON,TX,77044
ALL DAY TRANSPORTATION LLC,TOWN TOWING,006590271C,HOUSTON,TX,77063
ANCHIA'S AUTOMOTIVE COMPANY,ANCHIA'S FLEET CARE,006501847C,HOUSTON,TX,77063
ASHRAF ABURAMADAN,CHAMPION COLLISION CENTER,005669389C,HOUSTON,TX,77063
BMW PREVENTATIVE MAINTENANCE INC,FLATBED ONLY,006505741C,HOUSTON,TX,77063
CITYWIDEAUTOTOWINGINC,,006539867C,HOUSTON,TX,77063
JOAN CANTERO ESTEVEZ,ESTEVEZ TOWING RECOVERY,006554390C,HOUSTON,TX,77063
MAHMOUD SHALABI,ROYAL HOUSE TOWING,006628611C,HOUSTON,TX,77063
ON HOOK TOWING & RECOVERY LLC,ON HOOK TOWING & RECOVERY,006606382C,HOUSTON,TX,77063
PMC TOWING LLC,,006614059C,HOUSTON,TX,77063
STARLINE TOWING LLC,,006623206C,HOUSTON,TX,77063
UNIVERSAL TRANSMISSION COMPLETE AUTO REP,,006585766C,HOUSTON,TX,77063
1ST CHOICE ROADSIDE ASSISTANCE LLC,1ST CHOICE ROADSIDE ASSISTANCE,006596104C,HOUSTON,TX,77082
ATSG AMERICAN TOWING SERVICE GROUP LLC.,,006604402C,HOUSTON,TX,77082
B LEGIT INVESTMENTS LLC,,006621715C,HOUSTON,TX,77082
METROPOLITAN TOWING LLC,METRO AUTO TRANSPORT & SALES,006457072C,HOUSTON,TX,77082
RABIU ADIO,BAOKU ISE OTAN AUTO,006560595C,HOUSTON,TX,77082
SAID ABUJABER,TWINS AUTO TOWING,006628961C,HOUSTON,TX,77082
77336,No results,,,,
77389,No results,,,,
101 CAR ZONE LLC,,006604212C,KATY,TX,77493
FELLERS RESOURCES LLC,,006611867C,KATY,TX,77493
G & L TOWING LLC,,006613189C,KATY,TX,77493
MAHMOUD EL JICHI,EASY TOW,006593993C,KATY,TX,77493
TOW & BEHOLD LLC,TOW & BEHOLD,006626969C,KATY,TX,77493
TWINS E TOWING LLC,,006599618C,KATY,TX,77493
YZD TOWING LLC,,006628661C,KATY,TX,77493
BASSAM SAID,B S B,006616442C,MANVEL,TX,77578
BOYCES GLOBAL ENTERPRISE LLC,BGE TOWING,006592301C,MANVEL,TX,77578
JC WRECKER SERVICE LLC,J.C. AUTO COLLISION,005770763C,MANVEL,TX,77578
TRUST TOWING SERVICE LLC,,006624597C,MANVEL,TX,77578
77007,No results,,,,
77026,No results,,,,
APPLE TOWING CO.,APPLE TOWING CO.,005015138C,HOUSTON,TX,77045
F. A TOWING,,006409738C,HOUSTON,TX,77045
JAIME CAMPOS,CAMPOS TOWING,006533411C,HOUSTON,TX,77045
MARCO ALDANA,M & A WRECKER SERVICE,005844141C,HOUSTON,TX,77045
"TNT AUTO ENTERPRISES, INC",,005331988C,HOUSTON,TX,77045
BAYRON ANTONIO MARADIAGA,MARADIAGA TOWING,006619873C,HOUSTON,TX,77064
"CALDERON TOWING, LLC",,006421437C,HOUSTON,TX,77064
JAIME RAMOS,COMMUNITY WRECKER SERVICE,006426240C,HOUSTON,TX,77064
OSCAR F HERNANDEZ VELASQUEZ,TEXSTAR TOWING SERVICE,006424619C,HOUSTON,TX,77064
SK AUTO GROUP LLC,SBK TOWING & SERVICES,006596735C,HOUSTON,TX,77064
TORRES TOWING TX LLC,,006610005C,HOUSTON,TX,77064
WILLIAM ERNESTO BATRES,BATRES WRECKER SERVICE.,006558483C,HOUSTON,TX,77064
AC CENTER LLC,ALLIED COLLISION & AUTO REPAIR,006530600C,HOUSTON,TX,77083
ALLIED COLLISION CENTER INC,,006431814C,HOUSTON,TX,77083
ANDREW MOKORO,MICHAEL'S WRECKER SERVICE,006627029C,HOUSTON,TX,77083
AWAIS ADIL,OASIS CAR CARE,006525515C,HOUSTON,TX,77083
DAVID CRUZ-MARTINEZ,D. C. AUTO TRANSPORT,006542550C,HOUSTON,TX,77083
G&G USED AUTO PARTS INC.,,005933358C,HOUSTON,TX,77083
HICHAM BAKIR,FLATBED NEAR ME,006592021C,HOUSTON,TX,77083
JUAN F ULLOA,HWY 36 COLLISION CENTER,006440780C,HOUSTON,TX,77083
KALEEM SIDDIQUI,BABA TOWING,005858363C,HOUSTON,TX,77083
LUIS A VASQUEZ,DJ TOWING,006440220C,HOUSTON,TX,77083
"M & K FRIENDS, LLC",TOW365,006620473C,HOUSTON,TX,77083
RELENTLESS TOW SOLUTIONS LLC,,006627289C,HOUSTON,TX,77083
TRUSTWORTHY UNLIMITED INC.,TRUSTWORTHY WRECKER SERVICE,006554791C,HOUSTON,TX,77083
ARNOLDO MARTINEZ,,006518241C,HUMBLE,TX,77338
GREENSPOINT TOWING LLC,GREENSPOINT TOWING & RECOVERY,006535653C,HUMBLE,TX,77338
HUSTLETOWN HOLDINGS LLC,RECOVERY ASSOCIATES,006516018C,HUMBLE,TX,77338
MISAEL GALO,MG TOWING,006522473C,HUMBLE,TX,77338
RALSTON PHILLIPS,PEOPLE'S CHOICE TOWING N RECOVERY,006591991C,HUMBLE,TX,77338
SOSA'S RECOVERY SERVICES,SOSA'S RECOVERY SERVICES,006597085C,HUMBLE,TX,77338
SUPERIOR TOWING TX LLC,ON SITE TOWING,006626679C,HUMBLE,TX,77338
CHARLOTTE SANCHEZ,CHARLOTTE'S WRECKER SERVICE,005058101C,HUMBLE,TX,77396
ENIO JR ROMERO,ROMERO'S TOWING,006609064C,HUMBLE,TX,77396
FLAWLESS TOWING LLC,,006589370C,HUMBLE,TX,77396
GARETH FRANCIS,VENOM TOWING AND RECOVERY,006451658C,HUMBLE,TX,77396
HUMBLE TOWING SERVICE,,005470419C,HUMBLE,TX,77396
JESUS ZAPATA,ZAPATAS TOWING,006419226C,HUMBLE,TX,77396
JOSE ROMERO,,006313728C,HUMBLE,TX,77396
LOUIS ADRIAN TEAL,HUMBLE WRECKER SERVICE,005035759C,HUMBLE,TX,77396
NORTH HOUSTON MOTORS INC.,,005056091C,HUMBLE,TX,77396
STEVENGAINES,POOCHIE & SONS TOWING,006562307C,HUMBLE,TX,77396
"AMINE TOWING, LLC.",,006607643C,KATY,TX,77494
GCC USA LLC,BUDGET TOWING,006542340C,KATY,TX,77494
KATY TOWING LLC,,006563238C,KATY,TX,77494
NIGHT VISION TOWING AND RECOVERY LLC,,006538415C,KATY,TX,77494
RESCUE TOWING GROUP LLC,,006615621C,KATY,TX,77494
TOMMY GS TOWING INC,,006618201C,KATY,TX,77494
LANDONS HEAVY WRECKER SERVICE,,006178540C,PEARLAND,TX,77581
MODERN SPEED WORKS LLC,,006619342C,PEARLAND,TX,77581
SALTY GATORS LLC,ROADSIDE HERO,006624197C,PEARLAND,TX,77581
"YARD MULE SPECIALISTS, INC.",,006495582C,PEARLAND,TX,77581
"ZORIN GROUP, LLC",TEXAS MOTOR CLUB,006603861C,PEARLAND,TX,77581
HOUSTON EMERGENCY AUTO RESCUE & TRUCKING,H.E.A.R.T,006505060C,HOUSTON,TX,77008
MOMENTUM TOWING & ROADSIDE SERVICES LLC,,006545071C,HOUSTON,TX,77008
RAUL M BARRADAS,M B R AUTO TOWING,006511064C,HOUSTON,TX,77008
U.S. AUTO CONNECTION,,005036129C,HOUSTON,TX,77008
W. E. ENTERPRISES,,005105077C,HOUSTON,TX,77008
ALL AMERICAN TOWING AND TRANSPORT LLC,ALL AMERICAN SERVICES,006554540C,HOUSTON,TX,77027
"HARTWICK AUTO STORAGE, LLC",LONGHORN TOWING,006620684C,HOUSTON,TX,77027
77046,No results,,,,
77065,No results,,,,
A&S ROAD SERVICE LLC,,006563148C,HOUSTON,TX,77084
ALI MOHAMAD EL NASSAR,N.B.C TOWING,006603261C,HOUSTON,TX,77084
ANGELINE TOWING LLC,,006617381C,HOUSTON,TX,77084
BEAR CREEK CSI INC,,006432314C,HOUSTON,TX,77084
GREGORY LONGORIA,LSI WRECKER SERVICE,006567711C,HOUSTON,TX,77084
INSTANT ROADSIDE ASSISTANT LLC,,006499005C,HOUSTON,TX,77084
MAJID JABER,MJ FAST,006628190C,HOUSTON,TX,77084
MARIA BERMUDEZ,EXPEDITED TOWING LLC,006530720C,HOUSTON,TX,77084
MOE'S TRANSPORT & TOWING LLC,,006614340C,HOUSTON,TX,77084
RT TOWING LLC,,006594123C,HOUSTON,TX,77084
SOLO MECHANICS AND TOWING SERVICE,SOLO MECHANIC & TOWING SERVICE,005559197C,HOUSTON,TX,77084
ESTRAFER WRECKER SERVICE LLC,,006613549C,KINGWOOD,TX,77339
"TURBO WRECKERS, LTD CO.",,006614750C,KINGWOOD,TX,77339
BEST ONE TOWING SERVICES,,006533571C,BELLAIRE,TX,77401
"PRIVATE PROPERTY TOW, LLC",,006541098C,BELLAIRE,TX,77401
"ELITE TOWING SERVICE, INC.",,005235890C,STAFFORD,TX,77497
T. G. CERDA INC.,A+ STATEWIDE TOWING AND HAULING,005659548C,STAFFORD,TX,77497
AMAZING J TOWING II INC,,006613199C,PEARLAND,TX,77584
EXPRESS TOWING & RECOVERY,,006415504C,PEARLAND,TX,77584
K BENSON HOLDINGS INCORPORATED,ALL STAR TOWING,006621374C,PEARLAND,TX,77584
M.D. WILSON WRECKER SERVICE,MD WILSON SERVICES,006460865C,PEARLAND,TX,77584
"PARTS UNLIMITED, INC.",,005548937C,PEARLAND,TX,77584
"RED'S WRECKER SERVICE, INC.",,005037289C,PEARLAND,TX,77584
SOUTH LOOP TOWING LLC,SOUTH LOOP TOWING,006510864C,PEARLAND,TX,77584
AB TOWING LLC,,006553049C,HOUSTON,TX,77009
JORGE Z GUERRERO,CITY LIMITS TOWING SERVICE,005871944C,HOUSTON,TX,77009
VICTOR SANCHEZ,SANCHEZ WRECKER SERVICE,006549005C,HOUSTON,TX,77009
RODERICK SELLERS,ALL NIGHT TOWING,006420207C,HOUSTON,TX,77028
WARREN BRYANT,WB'S USED AUTO SALES INC.,006596845C,HOUSTON,TX,77028
WAYSIDE TOWING LLC,,006541999C,HOUSTON,TX,77028
PARTS R US LLC,CULLEN AUTO TOWING,006460725C,HOUSTON,TX,77047
RONALD BANKS,HOLDING MY OWN TOWING,006586037C,HOUSTON,TX,77047
CCH AUTOMOTIVE REPAIR LLC,,006514987C,HOUSTON,TX,77066
JORGE LUIS COREA MUNOZ,LIGHTNING TOWING,006607633C,HOUSTON,TX,77066
JOSE C SALMERON,C & S AUTO SALES,006402974C,HOUSTON,TX,77066
OSCAR ALVARENGA,AJ TOWING,006592941C,HOUSTON,TX,77066
"OSORTO, MARIN",MYZ TOWING RECOVERY & TRANSPORT LLC,005956501C,HOUSTON,TX,77066
ROBERTO HENRIQUEZ,MR H AUTO SALES,006579841C,HOUSTON,TX,77066
"1 TEXAS ADJUSTERS, LLC",TEXAS ADJUSTERS,006606392C,HOUSTON,TX,77085
AMERICA'S BEST RECYCLING LLC,,006618572C,HOUSTON,TX,77085
77345,No results,,,,
CHRISTOPHER VELASQUEZ,C AND D TOWING AND RECOVERY,006441270C,RICHMOND,TX,77406
CLASSIC TOWING TX INC,,006625188C,RICHMOND,TX,77406
FRANCISCO GOMEZ,GOMEZ TOWING,005702305C,RICHMOND,TX,77406
HABIBI TOWING LLC,,006624717C,RICHMOND,TX,77406
INTIME TOWING AND RECOVERY INC,,006617461C,RICHMOND,TX,77406
JASON ADAME,HOOK'EM & PULL'EM,006486485C,RICHMOND,TX,77406
MOHAMAD ELLOUBANI,CITYWIDE TRANSPORT,006586698C,RICHMOND,TX,77406
ROADLINK TOWING LLC,,006526046C,RICHMOND,TX,77406
RUSHDI R. ALI,WILCREST TOWING,006613749C,RICHMOND,TX,77406
SALEM ABDALLAT,SALEM ABDALLAT TOWING,006588119C,RICHMOND,TX,77406
SAMER RASHID,BLUE TOWING SERVICE,006598457C,RICHMOND,TX,77406
SUPERIOR TOWING & PARKING SOLUTIONS LLC,,006623496C,RICHMOND,TX,77406
TEXAS AUTO TECHS INC,HOUSTON AUTO SERVICES / H.E.A.R.T,006554951C,RICHMOND,TX,77406
"TRAVEL TOWING SERVICE, LLC",,006601159C,RICHMOND,TX,77406
WILLIAMS RELIABLE TOWING,,006342711C,RICHMOND,TX,77406
ELEVATED COLLISION LLC,,006613369C,SUGAR LAND,TX,77498
FRANCISCO A GONZALEZ,CARRILLO TOW TRUCKS,006491500C,SUGAR LAND,TX,77498
HOUTEX TOWING & RECOVERY LLC,,006577460C,SUGAR LAND,TX,77498
IMPERIAL WRECKER SERVICE INC.,,006410279C,SUGAR LAND,TX,77498
RUSH HOUR LLC,,006626909C,SUGAR LAND,TX,77498
SERENITY TOWING SERVICE LLC,,006626859C,SUGAR LAND,TX,77498
TEXANS CROWN TECH INC,TEXANS CROWN TOWING,006598016C,SUGARLAND,TX,77498
77586,No results,,,,
77010,No results,,,,
CRB TOWING LLC,,006536243C,HOUSTON,TX,77029
FREDERICK CLARK,FRED'S SCRAP METAL WRECKER SERVICE,005051611C,HOUSTON,TX,77029
RAMON ANTONIO ENAMORADO,EL CHINO TOWING,006447826C,HOUSTON,TX,77029
JAVIER MENDOZA,P&J AUTO SALES,006446054C,HOUSTON,TX,77048
RIGHT WAY TOWING LLC,,006553630C,HOUSTON,TX,77048
ANTHONY GONZALEZ,NORTH KING WRECKERS,006604262C,HOUSTON,TX,77067
ASSET RECOVERY PROS INC,RECOVERY PROS DBA METRO LENDERS SERVICES,006478579C,HOUSTON,TX,77067
"MH ROADSIDE ASSISTANCE, LLC",MH ROADSIDE ASSISTANCE & TOWING,006602310C,HOUSTON,TX,77067
6630 TRUCK AUTO SALES & TOWING SERVICE,6630 TRUCK AUTO SALES & TOW SERV,006420327C,HOUSTON,TX,77086
A & B TOWING,,006502087C,HOUSTON,TX,77086
CARLOS CARRANZA,ILK AUTO TOWING SERVICE,006508432C,HOUSTON,TX,77086
EDGAR ENRIQUE SALMERON CHAVEZ,EYK TOWING SERVICE,006585586C,HOUSTON,TX,77086
ERICK J AGUILAR,EJ TOWING,006582543C,HOUSTON,TX,77086
J GUADALUPE HERNANDEZ,GH TOWING SERVICE,006553650C,HOUSTON,TX,77086
PROSTAR TOWING & TRANSPORT LLC,,006574608C,HOUSTON,TX,77086
SANTILLAN TOWING LLC,,006608053C,HUMBLE,TX,77346
WOOTEN TRANSPORTATION SERVICES LLC,FOURWAY TRANSPORTATION TOWING,006551227C,HUMBLE,TX,77346
A&E AUTOMOTIVE LLC,,006628511C,RICHMOND,TX,77407
CERRITOS TOWING SERVICE,,006406217C,RICHMOND,TX,77407
DEJI ALEBIOSU,DA3,006588459C,RICHMOND,TX,77407
HA TOWING LLC,,006618952C,RICHMOND,TX,77407
MOON RIDES LLC,KATY RICHMOND TOWING,006593712C,RICHMOND,TX,77407
REGUS SERVICES INC,,006628160C,RICHMOND,TX,77407
TOW BUDDY LLC,,006607313C,RICHMOND,TX,77407
WASEEM ABU DAWOUD,Q & Y TOWING,006184670C,RICHMOND,TX,77407
COASTAL ASSET RECOVERY SOLUTIONS LLC,,006614190C,PASADENA,TX,77502
JANE CARREON,JADE TOWING SERVICE,006571254C,PASADENA,TX,77502
JOSE VALADEZ,MAP TRANSPORT,006626118C,PASADENA,TX,77502
JUAN JOSE HERNANDEZ,GULF GATE TOWING,005922378C,PASADENA,TX,77502
MARTIN ESTRADA,ESTRADA'S TOWING,006543391C,PASADENA,TX,77502
NEXT TOW & RECOVERY LLC,,006601470C,PASADENA,TX,77502
PASADENA TOWING,,005610434C,PASADENA,TX,77502
SWINDOLL PAINT & BODY SHOP,SWINDOLL PAINT & BODY SHOP,006483883C,PASADENA,TX,77502
TEXAS REGULATORS INC,,006621464C,PASADENA,TX,77502
TEXAS SWIFT TRANSPORTATION LLC,,006613729C,PASADENA,TX,77502
"U-P AUTO SALES, INC.",,005705245C,PASADENA,TX,77502
A&H WRECKER SERVICE LLC,,006592051C,SOUTH HOUSTON,TX,77587
JOE MEZA,AFFORDABLE CAR CARRIERS,005393573C,SOUTH HOUSTON,TX,77587
SMG ROADSIDE ASSISTANCE,ST MOSES TOWING,006539076C,SOUTH HOUSTON,TX,77587
ALBERT GUTIERREZ,MR G WRECKER SERVICE,005025159C,HOUSTON,TX,77011
ANDREW GOMEZ,SOUTH CENTRAL TOWING & RECOVERY,005399234C,HOUSTON,TX,77011
BELLS TOWING INCORORATED,,005798597C,HOUSTON,TX,77011
BEST TOW,"CANNINO WEST, INC.",005943830C,HOUSTON,TX,77011
JUAN VALLE,VALLE'S WRECKER SERVICE,006602981C,HOUSTON,TX,77011
"WAYSIDE FINANCE, INC.",,005708575C,HOUSTON,TX,77011
77030,No results,,,,
ALL IN TOWING & RECOVERY,,006532441C,HOUSTON,TX,77049
ALL OUT TOWING AND RECOVERY LLC,,006557382C,HOUSTON,TX,77049
AUTO MOTO TOWING LLC,,006584105C,HOUSTON,TX,77049
JOSE M. MEDRANO,CHOCHI TOWING SERVICES,006450217C,HOUSTON,TX,77049
KARINA VENCES,WILD EAST TOWING,006589340C,HOUSTON,TX,77049
LOS GARCIA TOWING SERVICE LLC,LOS GARCIA TOWING SERVICE,006404976C,HOUSTON,TX,77049
ROBERTH TOWING LLC,,006113125C,HOUSTON,TX,77049
GONZALEZ WRECKER SERVICE LLC,,006612568C,HOUSTON,TX,77068
OLIVER TOWING,,005644427C,HOUSTON,TX,77068
H.F.A.C.,,006542680C,HOUSTON,TX,77087
HOMER SALINAS,HOMER'S WRECKER SERVICE,005248532C,HOUSTON,TX,77087
SUCCESS AUTO TOWING,,006499775C,HOUSTON,TX,77087
ALEX TOWING LLC,,006582023C,MAGNOLIA,TX,77354
CLINTON BASS,BASS TOWING & RECOVERY,006493612C,MAGNOLIA,TX,77354
DK AUTO & DIESEL SERVICES INC,,005311267C,MAGNOLIA,TX,77354
HUSKEY'S TOWING & RECOVERY,,005525175C,MAGNOLIA,TX,77354
JULIO AGUILAR ARREDONDO,JULIO AGUILAR TOWING,006623226C,MAGNOLIA,TX,77354
MC TOWING INC,,006611817C,MAGNOLIA,TX,77354
